Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
97319-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,30.9375,16,7100,DAL@POR,POR,DAL,,,,,,PG/SG
97319-15542,SG/PG,Spencer,Spencer Dinwiddie,Dinwiddie,30.378261400305707,23,7000,BKN@GS,BKN,GS,,,,,,PG/SG
97319-55055,SG/PG,Dante,Dante Exum,Exum,16.166666666666668,21,6900,DAL@POR,DAL,POR,,,,,,PG/SG
97319-55059,C,Clint,Clint Capela,Capela,31.899998982747395,24,6900,ATL@CLE,ATL,CLE,,,,,,C
97319-15860,PF/C,Draymond,Draymond Green,Green,26.00666707356771,15,6900,BKN@GS,GS,BKN,O,Suspension,,,,PF/C
97319-113267,SF/PF,Caleb,Caleb Martin,Martin,23.44666748046875,15,6800,CHI@MIA,MIA,CHI,,,,,,SF/PF
97319-66236,PF/C,John,John Collins,Collins,29.490908536044035,22,6800,UTA@SAC,UTA,SAC,O,Illness,,,,PF/C
97319-23798,SG/SF,Caris,Caris LeVert,LeVert,28.072221544053818,18,6800,ATL@CLE,CLE,ATL,,,,,,SG/SF
97319-110354,C,Nic,Nic Claxton,Claxton,32.24000040690104,15,6800,BKN@GS,BKN,GS,,,,,,C
97319-9623,PG,Chris,Chris Paul,Paul,27.214285714285715,21,6800,BKN@GS,GS,BKN,,,,,,PG
97319-188425,C,Dereck,Dereck Lively,Lively,26.37272782759233,22,6700,DAL@POR,DAL,POR,,,,,,C
97319-171760,SF/SG,Jalen,Jalen Williams,Williams,29.404998779296875,20,6700,OKC@DEN,OKC,DEN,,,,,,SG/SF
97319-157905,SG/PG,Josh,Josh Giddey,Giddey,27.456521739130434,23,6600,OKC@DEN,OKC,DEN,,,,,,PG/SG
97319-14518,PF/SF,Tobias,Tobias Harris,Harris,30.412501017252605,24,6500,PHI@CHA,PHI,CHA,,,,,,SF/PF
97319-84703,SG/PG,De'Anthony,De'Anthony Melton,Melton,27.35833231608073,24,6500,PHI@CHA,PHI,CHA,,,,,,PG/SG
97319-70827,C,Ivica,Ivica Zubac,Zubac,27.729166666666668,24,6400,NY@LAC,LAC,NY,,,,,,C
97319-84682,SF/PF,Michael,Michael Porter,Porter,31.18076970027043,26,6400,OKC@DEN,DEN,OKC,,,,,,SF/PF
97319-171786,C,Mark,Mark Williams,Williams,30.88420988384046,19,6400,PHI@CHA,CHA,PHI,GTD,Back,,,,C
97319-110357,SF,RJ,RJ Barrett,Barrett,28.110525030838815,19,6400,NY@LAC,NY,LAC,,,,,,SF
97319-84694,SF,Bruce,Bruce Brown,Brown,25.030435313349184,23,6300,IND@MIN,IND,MIN,,,,,,SF
97319-110995,C/PF,Naz,Naz Reid,Reid,23.182609226392664,23,6300,IND@MIN,MIN,IND,,,,,,PF/C
97319-145328,PF/SF,Saddiq,Saddiq Bey,Bey,24.979166666666668,24,6300,ATL@CLE,ATL,CLE,,,,,,SF/PF
97319-41594,PF,Aaron,Aaron Gordon,Gordon,30.1454551003196,22,6200,OKC@DEN,DEN,OKC,GTD,Heel,,,,PF
97319-9575,PG,Mike,Mike Conley,Conley,26.32608695652174,23,6200,IND@MIN,MIN,IND,,,,,,PG
97319-188412,PG/SG,Keyonte,Keyonte George,George,21.600001017252605,24,6200,UTA@SAC,UTA,SAC,O,Foot,,,,PG/SG
97319-188433,SG/SF,Brandin,Brandin Podziemski,Podziemski,18.627777099609375,18,6100,BKN@GS,GS,BKN,,,,,,SG/SF
97319-157838,SG/SF,Cam,Cam Thomas,Thomas,31.69333292643229,15,6100,BKN@GS,BKN,GS,,,,,,SG/SF
97319-84667,SG,Collin,Collin Sexton,Sexton,22.2439990234375,25,6100,UTA@SAC,UTA,SAC,,,,,,SG
97319-171787,SF/PF,Keegan,Keegan Murray,Murray,26.98421116879112,19,6100,UTA@SAC,SAC,UTA,,,,,,SF/PF
97319-188419,SF,Brandon,Brandon Miller,Miller,25.271429152715776,21,6000,PHI@CHA,CHA,PHI,,,,,,SF
97319-188422,SF,Jaime,Jaime Jaquez,Jaquez,23.22,25,6000,CHI@MIA,MIA,CHI,,,,,,SF
97319-66115,PG/PF,Ben,Ben Simmons,Simmons,31,6,6000,BKN@GS,BKN,GS,O,Back,,,,PG/PF
97319-14509,SG,Klay,Klay Thompson,Thompson,24.83043372112772,23,6000,BKN@GS,GS,BKN,,,,,,SG
97319-110316,SF/PF,Cameron,Cameron Johnson,Johnson,26.694116928998163,17,6000,BKN@GS,BKN,GS,,,,,,SF/PF
97319-110352,PF/C,P.J.,P.J. Washington,Washington,26.447620210193453,21,6000,PHI@CHA,CHA,PHI,O,Shoulder,,,,PF/C
97319-80816,SG/PG,Malik,Malik Monk,Monk,26.52173913043478,23,6000,UTA@SAC,SAC,UTA,,,,,,PG/SG
97319-112708,SG/SF,Max,Max Strus,Strus,28.7960009765625,25,5900,ATL@CLE,CLE,ATL,,,,,,SG/SF
97319-188428,PG,Scoot,Scoot Henderson,Henderson,20.00714329310826,14,5800,DAL@POR,POR,DAL,,,,,,PG
97319-9874,PF/C,Kevin,Kevin Love,Love,21.55789505807977,19,5800,CHI@MIA,MIA,CHI,,,,,,PF/C
97319-157904,SF/PF,Jonathan,Jonathan Kuminga,Kuminga,19.030435313349184,23,5800,BKN@GS,GS,BKN,,,,,,SF/PF
97319-16293,SF/SG,Norman,Norman Powell,Powell,19.3625005086263,24,5800,NY@LAC,LAC,NY,,,,,,SG/SF
97319-85137,SG/SF,Duncan,Duncan Robinson,Robinson,23.17825980808424,23,5700,CHI@MIA,MIA,CHI,,,,,,SG/SF
97319-145308,SF/PF,Patrick,Patrick Williams,Williams,20.49615478515625,26,5700,CHI@MIA,CHI,MIA,,,,,,SF/PF
97319-9642,PG,Russell,Russell Westbrook,Westbrook,28.350001017252605,24,5700,NY@LAC,LAC,NY,,,,,,PG
97319-80825,PF/C,Isaiah,Isaiah Hartenstein,Hartenstein,18.65833282470703,24,5700,NY@LAC,NY,LAC,,,,,,PF/C
97319-23665,SG/SF,Buddy,Buddy Hield,Hield,23.94782555621603,23,5600,IND@MIN,IND,MIN,,,,,,SG/SF
97319-173747,SF,Simone,Simone Fontecchio,Fontecchio,15.691304082455842,23,5600,UTA@SAC,UTA,SAC,,,,,,SF
97319-110337,SG/SF,Talen,Talen Horton-Tucker,Horton-Tucker,22.1839990234375,25,5600,UTA@SAC,UTA,SAC,,,,,,SG/SF
97319-110338,SF/PF,De'Andre,De'Andre Hunter,Hunter,23.847618466331845,21,5600,ATL@CLE,ATL,CLE,GTD,Knee,,,,SF/PF
97319-9535,PG,Kyle,Kyle Lowry,Lowry,23.9875005086263,24,5600,CHI@MIA,MIA,CHI,,,,,,PG
97319-66968,SF/PF,Derrick,Derrick Jones,Jones,19.34347799549932,23,5600,DAL@POR,DAL,POR,,,,,,SF/PF
97319-145318,C,Nick,Nick Richards,Richards,20.782352223115808,17,5600,PHI@CHA,CHA,PHI,,,,,,C
97319-15846,SG/SF,Tim,Tim Hardaway,Hardaway,23.638094947451638,21,5600,DAL@POR,DAL,POR,,,,,,SG/SF
97319-22541,C/PF,Kelly,Kelly Olynyk,Olynyk,21.32608695652174,23,5500,UTA@SAC,UTA,SAC,,,,,,PF/C
97319-14523,PG,Reggie,Reggie Jackson,Jackson,24.638460599459133,26,5500,OKC@DEN,DEN,OKC,,,,,,PG
